問題,答え
本名をステファニー・ジョアン・アンジェリーナ・ジャーマノッタという、代表曲に「Rain on me 」、「Born this way」、「Poker Face」などがあるアメリカのシンガーソングライターは誰でしょう？,レディー・ガガ
鎌倉幕府を倒した 後醍醐天皇が始めた、天皇を中心とする新たな政治のことを当時の元号からなんというでしょう？,建武の新政
頭を撃たれた者が撃たれた時に後悔したことを死ぬ気でがんばってしまうという「死ぬ気弾」を使って、ある赤ん坊がダメツナこと沢田綱吉をイタリアンマフィア・ボンゴレファミリーの10代目ボスとして立派に育て上げてゆく天野明による漫画はなんでしょう？,家庭教師ヒットマンREBORN!
ラパン、スペーシア、ハスラー、ジムニーなどの車種を販売する日本の企業はどこでしょう？,スズキ
日本語では「人孔(じんこう)」という、地下の管渠(かんきょ)内で点検、調査など維持管理を行う人が出入りするための設備のことを英語でなんというでしょう？,マンホール
一種類の豆から淹れられたコーヒーのことを数種類のコーヒー豆が配合されている「ブレンド」に対しなんというでしょう？,ストレート ⚪︎シングル
木材、レンガ、小麦、鉱石、羊毛の5種類の資源を使い無人島を開拓してゆく1995年にコスモス社から発売されたボードゲームはなんでしょう？,カタンの開拓者たち ⚪︎カタン
バスケットボールにおいて、ボールがリングに当たらず綺麗にシュートが入ることを英語のオノマトペでなんというでしょう？,Swish(スウィッシュ)
2024年10月23日に東証プライム市場に上場した、銀座線や丸の内線などの路線を東京都区部およびその周辺地域で経営する鉄道事業者はなんでしょう？,東京地下鉄株式会社 ⚪︎東京メトロ
日本銀行など先進国の中央銀行が政策金利を上げるとき、一般的に一回の金利の上げ幅は何%でしょう？,0.25%
「熱狂のゴールドラッシュが過ぎて数十年。かつての活気が失われた鉱山を猛スピードで駆けぬけるのは、機関士のいない鉱山列車。目前に迫る岩肌、傾斜しながら一気にくだるスリルに思わず声をあげてしまいそう！」という紹介文が公式ページに書かれている東京ディズニーランドのアトラクションはなんでしょう？,ビッグサンダーマウンテン
